"Source:","/home/mark/Kicadprojects/PICAxe/picaxeprg/picaxeprg.kicad_sch"
"Date:","Wed 31 Aug 2022 12:59:24 BST"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","16"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","C_Polarized","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor",""
"C3, ","1","0.1 uf","C_Small","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","Unpolarized capacitor, small symbol",""
"D1, ","1","1N4001","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","50V 1A General Purpose Rectifier Diode, DO-41",""
"D2, ","1","5v6 1watt","D_Zener","Diode_THT:D_5W_P12.70mm_Horizontal","Zener diode",""
"J1, ","1","DC 12Volts","Screw_Terminal_01x02","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, J3, ","2","Header","Conn_01x04_Female","Connector_Wuerth:Wuerth_WR-WTB_64800411622_1x04_P1.50mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","DB9_Male","DB9_Male","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm","9-pin male D-SUB connector",""
"Q1, ","1","2SD600","2SD600","Package_TO_SOT_THT:TO-126-3_Vertical","1A Ic, 100V Vce, High Voltage Power NPN Transistor, TO-126",""
"R1, ","1","1K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R2, ","1","22K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R3, R5, ","2","10K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R4, ","1","100R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"U1, ","1","picaxe08m2","picaxe08m2","Package_DIP:DIP-8_W7.62mm","",""
